"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"2","2.572232","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"3","2.573304","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"4","4.514785","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"5","7.369591","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"6","9.249476","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"7","12.076063","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"8","14.842195","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"9","17.373295","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"10","18.970448","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"11","20.484937","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"12","23.979237","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"13","26.618331","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"14","30.034861","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"15","32.389155","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"16","34.069636","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"17","37.883963","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"18","40.068428","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"19","42.582825","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"20","43.756253","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"21","45.484527","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"22","48.167216","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"23","50.224849","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"24","51.465776","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"25","54.173179","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"26","57.116772","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"27","59.919935","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
"28","64.185043","127.0.0.1","127.0.0.1","UDP","56","56318  >  13337 Len=24"
